cityName,Time,Total_rainfall
Surat,Jan-11,NA
Surat,Feb-11,NA
Surat,Mar-11,NA
Surat,Apr-11,NA
Surat,May-11,NA
Surat,Jun-11,61
Surat,Jul-11,317
Surat,Aug-11,417
Surat,Sep-11,223
Surat,Oct-11,NA
Surat,Nov-11,NA
Surat,Dec-11,NA
Surat,Jan-12,NA
Surat,Feb-12,NA
Surat,Mar-12,NA
Surat,Apr-12,NA
Surat,May-12,NA
Surat,Jun-12,63
Surat,Jul-12,304
Surat,Aug-12,174
Surat,Sep-12,374
Surat,Oct-12,12
Surat,Nov-12,NA
Surat,Dec-12,NA
Surat,Jan-13,NA
Surat,Feb-13,NA
Surat,Mar-13,NA
Surat,Apr-13,NA
Surat,May-13,NA
Surat,Jun-13,648
Surat,Jul-13,614
Surat,Aug-13,293
Surat,Sep-13,528
Surat,Oct-13,52
Surat,Nov-13,NA
Surat,Dec-13,NA
Surat,Jan-14,NA
Surat,Feb-14,NA
Surat,Mar-14,NA
Surat,Apr-14,NA
Surat,May-14,NA
Surat,Jun-14,41
Surat,Jul-14,556
Surat,Aug-14,177
Surat,Sep-14,192
Surat,Oct-14,NA
Surat,Nov-14,NA
Surat,Dec-14,NA
Surat,Jan-15,NA
Surat,Feb-15,NA
Surat,Mar-15,NA
Surat,Apr-15,NA
Surat,May-15,NA
Surat,Jun-15,382
Surat,Jul-15,270
Surat,Aug-15,76
Surat,Sep-15,377
Surat,Oct-15,3
Surat,Nov-15,NA
Surat,Dec-15,NA
Surat,Jan-16,NA
Surat,Feb-16,NA
Surat,Mar-16,NA
Surat,Apr-16,NA
Surat,May-16,NA
Surat,Jun-16,NA
Surat,Jul-16,365
Surat,Aug-16,223
Surat,Sep-16,131
Surat,Oct-16,110
Surat,Nov-16,NA
Surat,Dec-16,NA
Surat,Jan-17,NA
Surat,Feb-17,NA
Surat,Mar-17,NA
Surat,Apr-17,NA
Surat,May-17,NA
Surat,Jun-17,368
Surat,Jul-17,775
Surat,Aug-17,1165
Surat,Sep-17,51
Surat,Oct-17,1275
Surat,Nov-17,NA
Surat,Dec-17,1327
Surat,Jan-18,NA
Surat,Feb-18,NA
Surat,Mar-18,NA
Surat,Apr-18,NA
Surat,May-18,NA
Surat,Jun-18,201
Surat,Jul-18,962
Surat,Aug-18,1181
Surat,Sep-18,1284
Surat,Oct-18,1298
Surat,Nov-18,NA
Surat,Dec-18,NA
Surat,Jan-19,NA
Surat,Feb-19,NA
Surat,Mar-19,NA
Surat,Apr-19,NA
Surat,May-19,NA
Surat,Jun-19,206
Surat,Jul-19,780
Surat,Aug-19,1294
Surat,Sep-19,1664
Surat,Oct-19,1778
Surat,Nov-19,1798
Surat,Dec-19,NA
Surat,Jan-20,NA
Surat,Feb-20,NA
Surat,Mar-20,NA
Surat,Apr-20,NA
Surat,May-20,NA
Surat,Jun-20,186
Surat,Jul-20,775
Surat,Aug-20,1941
Surat,Sep-20,2251
Surat,Oct-20,2275
Surat,Nov-20,NA
Surat,Dec-20,NA
Surat,Jan-21,NA
Surat,Feb-21,NA
Surat,Mar-21,NA
Surat,Apr-21,NA
Surat,May-21,NA
Surat,Jun-21,408
Surat,Jul-21,680
Surat,Aug-21,854
Surat,Sep-21,1549
Surat,Oct-21,1577
